preposto	decano
coppa	scodella
crescita	aumento
avanzata	progressione
ara	altare
accoglienza	benvenuto
buio	notte
rotaia	carreggiata
bruno	marrone
manicaretto	manna
rapida	rapide
polverizzatore	vaporizzatore
regolamento	quarzite
gravame	peso
pitocco	arpagone
prevenzione	preconcetto
meticolosità	minuziosità
mutande	pantaloni
pullover	maglione
studente	studioso
discettazione	dissertazione
boccale	gotto
corpus	favorita
locuzione	frase
cabinovia	funivia
reclutamento	arruolamento
box	garage
matto	anormale
subacqueo	sub
cotoletta	costoletta
immoralità	malcostume
irragionevolezza	irrazionalità
abito	abiti
intingolo	condimento
scarpone	stivale
chassis	scocca
neuropsichiatra	alienista
apocalissi	apocalisse
tuba	cilindro
liberazione	emancipazione
dinamo	nucleotide
miocene	miocenico
prestanza	bellezza
rovesciamento	capovolgimento
cuspide	punta
arabesco	ghirigoro
costatazione	scherzo
totano	calamaro
bella	innamorata
trafficante	venditore
cortile	giardino
linkage	concatenazione
apertura	inaugurazione
rimatore	poeta
effigie	effige
diplomazia	sensibilità
gommosi	gomma
raccoglimento	riflessione
logorio	deprezzamento
artiere	geniere
voto	punteggio
colpo	centro
espressione	aria
cancerologia	oncologia
branco	banco
scherno	parastinchi
pizza	bobina
bagnarola	caffettiera
immedesimazione	identificazione
parallelogrammo	parallelogramma
riproduzione	procreazione
contrapposizione	contrasto
nunziatura	nunciatura
ammaliatore	stregone
pellegrino	romeo
tugurio	spelonca
giumenta	cavalla
codificazione	codifica
starter	mossiere
secondino	aguzzino
altezza	intonazione
gol	rete
gocciola	goccia
chiusino	tombino
omicidio	uccisione
differenza	diversità
riassetto	assestamento
stravaganza	ghiribizzo
figlio	bambino
quota	compartecipazione
abbaino	lucernaio
astuzia	furberia
postribolo	casino
bello	sereno
teatro	scena
sponda	riva
flap	ipersostentatore
morchia	grasso
tregenda	sabba
scadenza	termine
flocco	fiocco
boscaglia	fratta
grandangolo	grandangolare
dedizione	madre
lanugine	peluria
fuoco	perimetro
toilette	veste
guida	aula
illetterato	incolto
cancellierato	carcinoma
etos	ethos
perforazione	trapanatura
martellatore	piattola
censura	natta
coalizione	schieramento
frigidaire	refrigeratore
automatismo	dispositivo
isola	spartitraffico
floema	libro
culbianco	monachella
chinina	chinino
mania	dipendenza
mutevolezza	volubilità
landgravio	langravio
copertura	mascheramento
stocco	canna
ricercatore	cercatore
inafferrabilità	finezza
comune	municipalità
seduta	sessione
comunione	comproprietà
dosatore	distributore
bietolone	pacioccone
riduzione	adattamento
tale	tipo
nomogramma	abbaco
arrampicatore	scalatore
contenitore	recipiente
barbabietola	bietola
onorevole	deputato
slittino	toboga
trisma	tetano
contromarcia	retromarcia
bolla	bollicina
ritmo	velocità
caprifoglio	madreselva
fiancata	nardo
supporto	sopporto
agonismo	combattività
performance	rappresentazione
greppia	trogolo
banco	cassa
acconto	caparra
windsurf	surfing
