idromele	appannaggio
rimmel	mascara
mole	genesi
preposto	decano
coppa	scodella
cacca	cacata
legatore	rilegatore
crescita	aumento
contadino	colono
dissoluzione	disgregamento
posta	puntata
tabaccheria	tabacchino
sezione	articolo
certezza	sicurezza
ovidotto	ovidutto
arcobaleno	iride
scoppio	esplosione
spolverino	camiciotto
immaterialità	incorporeità
putrefazione	decomposizione
bachelite	bakelite
avanzata	progressione
ara	altare
milieu	contesto
calcagno	tallone
vastità	amplitudine
vizio	gangrena
aeronautica	aviazione
rottura	incomodo
esplosivo	esplodente
cascina	cascinale
accoglienza	benvenuto
strettoia	strozzatura
pretesa	richiesta
dietrofront	dietro
aeronauta	pilota
perditempo	michelaccio
seppia	escrescenza
contentezza	felicità
logorio	profusione
lenitivo	calmante
rincarnazione	metempsicosi
strattone	stratta
irraggiungibilità	irrealizzabilità
scioglimento	fusione
cattedratico	professore
semestre	dragaggio
fermezza	costanza
salame	sempliciotto
henné	enna
intemperie	maltempo
cavicchio	bischero
legnetto	brocco
buio	notte
brocca	boccale
rotaia	carreggiata
yacht	panfilo
bruno	marrone
morva	moccio
dismissione	privatizzazione
cliché	forbicina
congiuntura	circostanza
igiene	compatimento
manicaretto	manna
parati	tappezzeria
rapida	rapide
mamalucco	tonto
munizioni	munizionamento
posatura	deposito
consultore	assessore
emissione	sprigionamento
polverizzatore	vaporizzatore
secreto	secrezione
bombardone	elicone
distaccamento	reparto
foschia	bruma
partita	registrazione
amerindiano	amerindio
collaborazione	cooperazione
regolamento	quarzite
gravame	peso
pitocco	arpagone
riva	banchina
accettazione	ricezione
prevenzione	preconcetto
segugio	bracco
ulcerazione	ulcera
rezzo	orezzo
proteinuria	albuminuria
deformità	deformazione
proposizione	frase
improvviso	impromptu
introduzione	inserimento
disaffezione	alienazione
catalessia	catalessi
lealtà	sincerità
meticolosità	minuziosità
storiella	barzelletta
bombatura	arrotondamento
aster	astro
spreco	profusione
verdura	ortaggio
mutande	pantaloni
protuberanza	rigonfiamento
pullover	maglione
inumazione	sepoltura
studente	studioso
corda	fune
credenza	credito
magistrato	batteriologo
discettazione	dissertazione
boccale	gotto
potere	amministrazione
corpus	favorita
decelerazione	rallentamento
moderato	centrista
locuzione	frase
scioglimento	slegatura
invio	rinnovamento
mormorazione	aritmetica
maturazione	maturità
inadeguatezza	incongruità
mastello	mastella
apribottiglie	levacapsule
cabinovia	funivia
riga	fila
battitura	dattilografia
orecchio	orecchia
detenzione	arresto
pietista	esclusivista
imboccatura	imbocco
svinatura	estrazione
cavalletta	locusta
casata	progenie
indostano	indù
rivolta	ammutinamento
reclutamento	arruolamento
crocifissione	crocefissione
siclo	shekel
bancarottiere	fallito
omento	mucchio
box	garage
innaffiatoio	innaffiatore
colombo	piccione
realista	monarchico
matto	anormale
immobilità	aquilone
rimedio	cura
resa	gettito
rivalità	concorrenza
odontoiatria	odontologia
chignon	cipolla
logorio	logoramento
sospetto	intuito
impulso	pulsazione
subacqueo	sub
cotoletta	costoletta
immoralità	malcostume
rischio	insicurezza
britanno	britannico
irragionevolezza	irrazionalità
abito	abiti
ricorso	appello
difficoltà	ostacolo
abbazia	badia
intingolo	condimento
scarpone	stivale
chassis	scocca
catorcio	chiavistello
zigoto	inibizione
vincolo	legame
alcolico	liquore
quattrino	centesimo
dimenticanza	omissione
contributo	sussidio
neuropsichiatra	alienista
apocalissi	apocalisse
apocalisse	apocalissi
fecondità	prolificità
cordone	corda
affossamento	cedimento
angolare	cantonale
allievo	scolaro
retaggio	patrimonio
clan	genia
vitalità	vivacità
consumazione	bere
tuba	cilindro
liberazione	emancipazione
esercizio	pratica
dinamo	nucleotide
verità	autenticità
trocoide	cicloide
crescendo	francescano
manopola	muffola
miocene	miocenico
proposta	mozione
surrene	surrenale
salvazione	redenzione
prestanza	bellezza
cordoglio	lutto
avidità	voracità
rovesciamento	capovolgimento
reliquiario	teca
diritto	giurisprudenza
cuspide	punta
naturalezza	immediatezza
autorizzazione	mandato
arabesco	ghirigoro
norma	canone
canalizzazione	ippodromo
costatazione	scherzo
acme	crisi
fioraio	fiorista
pervertito	degenerato
totano	calamaro
bella	innamorata
trafficante	venditore
frantumazione	rompimento
conglomerato	puddinga
cortile	giardino
frocio	finocchio
ananasso	ananas
stabilità	fermezza
linkage	concatenazione
apertura	inaugurazione
proiettile	bossolo
rimatore	poeta
abdicazione	dimissioni
effigie	effige
diplomazia	sensibilità
gommosi	gomma
raccoglimento	riflessione
cascina	casale
est	oriente
resurrezione	risurrezione
logorio	deprezzamento
recto	diritto
aneddoto	raccontino
fiaschetta	fiasca
lambda	labda
intelligenza	mente
unicorno	alicorno
gargouille	doccione
collana	antologia
vivagno	cimosa
relais	relè
oligocene	interpretazione
sciroppo	giulebbe
scalino	gradino
bottiglieria	cantina
saldo	conguaglio
miopia	pallottola
siciliano	siculo
artiere	geniere
altruismo	liberalità
cucchiaiata	cucchiaio
indignazione	sdegno
caratteristica	qualità
libellista	calunniatore
voto	punteggio
risparmiatore	economizzatore
millepiedi	iulo
baldanza	spavalderia
transizione	conversione
ricovero	asilo
rinuncia	rinunzia
brahmano	bramino
giorno	anno
vacca	mucca
retino	guadino
peripatetica	falena
soliloquio	monologo
pista	circuito
comando	ordine
arnese	strumento
ecclettico	eclettico
colpo	centro
algoritmo	algorismo
successore	rimpiazzo
espressione	aria
cancerologia	oncologia
floricoltura	floricultura
targhetta	medaglietta
passera	platessa
anfratto	greppo
borsellino	pignoramento
sentimento	sensazione
branco	banco
scherno	parastinchi
incoscienza	irresponsabilità
gora	bottaccio
credente	fedele
rollio	rullio
falsario	falsificatore
status	stato
profilassi	prevenzione
grotta	antro
magnete	calamita
verruca	porro
cuoio	pelle
riunione	consesso
falda	tesa
frappé	frullato
rispetto	ossequio
pizza	bobina
bagnarola	caffettiera
svantaggio	inconveniente
immedesimazione	identificazione
evidenza	testimonianza
caseificio	latteria
parallelogrammo	parallelogramma
catino	bacinella
rogo	pira
umido	umidità
damo	amoroso
disappunto	delusione
riproduzione	procreazione
diga	sbarramento
contrapposizione	contrasto
nunziatura	nunciatura
pegno	caparra
prensione	presa
ammaliatore	stregone
apatia	disamore
euroasiatico	eurasiatico
guancia	gota
appiglio	circostanza
carretto	carrello
schema	strategia
ometto	monaco
alto	cima
lontananza	distanza
maglia	cotta
trapano	perforatrice
magnete	ficcanaso
piastra	fornello
domma	dogma
risguardo	guardia
savio	saggio
lamantino	manato
pellegrino	romeo
fermaglio	clip
banco	panca
maître	capocameriere
insaccati	salsiccia
turista	escursionista
fedele	cristiano
epitafio	epitaffio
bagattella	bagatella
genio	ingegno
indagine	investigazione
mazzuolo	mazzolo
costato	petto
pezzo	passaggio
collante	adesivo
mondo	pubblico
buffonata	facezia
tugurio	spelonca
giumenta	cavalla
codificazione	codifica
starter	mossiere
figliolo	figliuolo
frangiatura	falpalà
secondino	aguzzino
scorso	disattenzione
carrozzeria	châssis
altezza	intonazione
poliomielite	polio
gol	rete
danno	avaria
eruzione	sfogo
spiaggia	lido
cappello	testa
passera	passero
ascoltatore	uditore
bozza	tumefazione
gocciola	goccia
crivello	vaglio
chiusino	tombino
fonda	bisaccia
convenuto	accordo
zampillo	fiotto
endosperma	albume
cimitero	sagrato
forza	effetto
invalido	mutilato
zabaglione	zabaione
aria	atteggiamento
omicidio	uccisione
invalidazione	risoluzione
scanner	analizzatore
canzone	canzonetta
scaturigine	polla
piano	programma
stratego	stratega
buco	fossetta
attenuazione	addolcimento
riunione	addensamento
panciata	spanciata
nervosità	incisività
albo	giornaletto
palato	gusto
lampadina	bulbo
promettente	promittente
differenza	diversità
abbaino	lucernario
riassetto	assestamento
stravaganza	ghiribizzo
nuova	notizia
adesione	adozione
forziere	cassa
figlio	bambino
bond	obbligazione
beneplacito	permesso
persuasione	convincimento
afflizione	problema
bastione	cinta
guerraiolo	guerrafondaio
almanacco	lunario
chilometro	kilometro
legatura	tino
lauro	alloro
universitario	goliardo
vulcanesimo	vulcanismo
quota	compartecipazione
lettiga	barella
ricetrasmettitore	ricetrasmittente
interruzione	discontinuità
ragione	motivo
asilo	rifugio
boy	fattorino
assistito	paziente
ditale	anello
mitografo	mitologo
cliente	degente
abbaino	lucernaio
astuzia	furberia
socialdemocrazia	incenso
candeggio	scolorimento
ospite	invitato
cosa	faccenda
dimostrazione	manifestazione
ritmo	tasso
proselito	neofita
terremoto	sisma
lavorante	operaio
catarsi	abreazione
beat	capellone
concione	orazione
cardello	cardellino
affidamento	assegnamento
crespigno	cicerbita
aeroplano	aereo
incurabilità	insanabilità
discente	scolaro
isolotto	isoletta
gradino	appoggio
disfunzione	disturbo
postribolo	casino
convento	monastero
bue	bove
congenere	confluenza
bello	sereno
palmento	mola
scorreggia	peto
prugna	susina
accettazione	adesione
tartaruga	testuggine
setola	sequenza
stoppino	lucignolo
teatro	scena
zaffo	zipolo
magrezza	esilità
portico	loggia
aspirante	concorrente
ingenuità	innocenza
campagnolo	contadino
massaia	casalinga
caciara	sarabanda
passaggio	pezzo
contravvenzione	multa
sponda	riva
aereo	antenna
elemento	fatto
calmante	esecuzione
flap	ipersostentatore
manato	lamantino
arnese	aggeggio
laico	profano
cicatrice	sfregio
perpetuità	perennità
morchia	grasso
limetta	tiglio
bega	contesa
break	pausa
novità	freschezza
combriccola	festa
ammortizzatore	smorzatore
ciprea	porcellana
pollivendolo	pollaiolo
tregenda	sabba
valkiria	valchiria
effluente	invito
stiratura	distorsione
cassettone	canterano
contrattempo	intoppo
scadenza	termine
etimologico	etimologo
libazione	libagione
spruzzatura	marchio
sotterramento	inumazione
cazzotto	pugno
signora	moglie
flocco	fiocco
fatica	difficoltà
sottotitolo	didascalia
classificazione	muffa
virgulto	carice
pugnalata	coltellata
linea	fronte
vecchiezza	vecchiaia
boscaglia	fratta
dimensione	proporzione
grandangolo	grandangolare
evoluzione	manovra
dedizione	madre
lanugine	peluria
umiltà	semplicità
nervosità	nervosismo
abbondanza	dovizia
fuoco	perimetro
rione	contrada
bluette	celeste
beneficato	donatario
terapeutica	terapia
toilette	veste
chiaroveggente	veggente
conciliabilità	compatibilità
ferula	coppa
guida	aula
illetterato	incolto
cancellierato	carcinoma
disapprovazione	deprecazione
approvazione	benestare
chiericato	clericato
etos	ethos
ingresso	biglietto
trattore	motrice
colorazione	pendolo
perforazione	trapanatura
strato	banco
grazia	benevolenza
crochet	uncinetto
martellatore	piattola
nodo	annodamento
compensazione	indennizzo
culmine	apice
figura	forma
sena	senna
dg	laborista
scintilla	vivacità
minuto	primo
cm	centimetro
radiobussola	gettito
senzapatria	profugo
fortuna	bazza
collo	colletto
censura	natta
velocista	sprinter
defenestrazione	allontanamento
coalizione	schieramento
frigidaire	refrigeratore
acerbità	immaturità
discussione	dibattito
desiderabilità	appetibilità
iarda	yard
dipendenza	assuefazione
automatismo	dispositivo
monello	mariolo
isola	spartitraffico
maturazione	invecchiamento
ascia	scure
falso	invenzione
iconoclasta	iconoclaste
floema	libro
culbianco	monachella
chinina	chinino
ottica	prospettiva
gioco	partita
furia	irruenza
mazziere	presbiteriano
meta	asiatico
mezzaluna	falce
gonnella	bambola
traslitterazione	trascrizione
zito	celibe
mania	dipendenza
mnemonica	mnemotecnica
appellativo	nomignolo
mutevolezza	volubilità
rischio	alea
misura	estensione
sbarra	barra
neve	nevicata
tendenza	matrice
incisione	taglio
landgravio	langravio
scisma	scissura
penuria	carestia
fluido	liquido
gessetto	gesso
tafano	assillo
questione	fatto
naiade	naide
cataletto	bara
mondo	realtà
cerchia	cerchio
aereazione	areazione
armamento	armi
copertura	mascheramento
stocco	canna
guardarobiere	governante
sbadato	smemorato
debito	chiodo
complessione	fisico
diversivo	distrazione
predisposizione	splenectomia
pantano	acquitrino
ricercatore	cercatore
gronda	grondaia
autorespiratore	respiratore
condanna	coefficiente
contabile	calcolatore
inafferrabilità	finezza
comune	municipalità
seduta	sessione
detective	investigatore
comunione	comproprietà
lavanda	deiezione
tassista	taxista
campione	combattente
intelligibilità	intellegibilità
gozzo	struma
arietta	zeffiro
dosatore	distributore
equipaggio	ciurma
parolaio	trombone
capobanda	caporione
scorribanda	assalto
giuria	jury
disconoscimento	ripudio
gnomo	nano
rifornimento	scorta
casata	lignaggio
bietolone	pacioccone
spazzino	scopino
passo	andatura
attrezzista	trovarobe
riduzione	adattamento
inclusione	inserimento
tale	tipo
canile	cuccia
genesi	radice
nomogramma	abbaco
fondaccio	feccia
arrampicatore	scalatore
apicoltore	apicultore
casa	magione
moicano	mohicano
sciagurato	delinquente
palma	palmizio
accettabilità	ammissibilità
falcone	falco
carrozzone	roulotte
contenitore	recipiente
vena	filone
annaffiatura	annaffiata
minuziosità	rientranza
pizza	impiastro
barbabietola	bietola
ancella	serva
baraccopoli	favela
onorevole	deputato
cremazione	incinerazione
altoparlante	amplificatore
granturco	messe
meteorite	bolide
avvertimento	avvertenza
trebbia	trebbiatura
nutrizione	nutrimento
condizione	situazione
cistercense	cisterciense
slittino	toboga
povertà	miseria
germinazione	buttata
chiacchiera	ciancia
pastora	pastorella
generalizzazione	astrazione
concime	fertilizzante
compressa	impacco
trisma	tetano
fervore	calore
barlume	chiarore
testo	parole
narrazione	sfera
etos	ussaro
fondista	maratoneta
contromarcia	retromarcia
sforzo	fatica
fragranza	aroma
babbuino	asino
bolla	bollicina
dulcamara	ciarlatano
strozzamento	strangolamento
ritmo	velocità
capsula	tappo
donazione	elargizione
caprifoglio	madreselva
fathom	braccio
internet	cyberspazio
sospettosità	diffidenza
bicchierino	cicchetto
magnificenza	sfarzosità
contagio	epidemia
verifica	controllo
nomade	giramondo
azione	atto
avere	fortuna
ritornello	refrain
addestramento	dressage
pennichella	riposino
toboga	taboga
condensazione	biberon
allegrezza	gaiezza
moneta	soldo
actinomiceti	micobatteri
fallimento	bancarotta
fiancata	nardo
garantia	assicurazione
inazione	inoperosità
strofinaccio	canavaccio
senso	direzione
confusione	rumore
edificazione	costruzione
supporto	sopporto
agonismo	combattività
dislivello	caduta
caglio	coagulo
infiltrazione	fuoruscita
chierico	ecclesiastico
salute	sanità
implementation	raggiungimento
abitudine	costume
sicario	killer
performance	rappresentazione
dominatore	padrone
mascherina	bautta
bimbetto	baby
greppia	trogolo
banco	cassa
acconto	caparra
babilonia	babele
affare	separazione
affievolimento	evanescenza
compagnia	troupe
alzato	alzata
empietà	crudeltà
windsurf	surfing
laicizzazione	secolarizzazione
forcone	bidente
dittatura	assolutismo
schianto	schiocco
barra	leva
pastina	pasticcino
impiego	investimento
proverbio	detto
concubinato	concubinaggio
biografia	vita
poncio	poncho
apostrofe	invettiva
traduttore	interprete
perdita	fuga
lucciola	pubblico
colpa	male
lungaggine	lentezza
risultato	conseguenza
bobina	spagnoletta
demenza	insania
imbroglio	baratteria
coppiglia	copiglia
magistero	controllo
battaglio	battocchio
amaca	branda
mordente	muratore
stizza	malumore
ricupero	rinvenimento
incedere	caminata
stirpe	discendenza
menomazione	handicap
profondità	profondo
viaggio	sballo
trattamento	accoglienza
apparatore	tappezziere
moncherino	moncone
fiamma	amore
provvista	rifornimento
macinacaffè	macinino
singalese	cingalese
scaramuccia	avvisaglia
unità	integrità
cappello	cappella
orsa	orso
norma	media
fiamma	fuoco
mongolfiera	pallone
trascrizione	copia
