reperto	prova
requisizione	richiesta
salvavita	fusibile
età	proprietà
corridore	atleta
fanatismo	intolleranza
anaconda	boa
tovagliato	biancheria
puntasecca	incisione
silo	torre
fiammingo	olandese
crocchetta	piatto
acculturazione	educazione
problema	questione
asintoto	retta
giusto	giustizia
consistenza	proprietà
tubercolina	liquido
bizzarria	singolarità
codirosso	tordo
lancia	arma
corsa	sport
retina	membrana
muscolatura	sistema
boicottaggio	protesta
stenosi	patologia
tsuga	conifera
volpe	canide
ministro	diplomatico
monorotaia	ferrovia
espansività	comunicativa
malgascio	africano
impatto	influenza
cavalleria	principio
lobulo	lobo
facchino	manovale
lusso	debolezza
fioretto	punta
concubina	mantenuta
indotto	bobina
babilonese	cuneiforme
spesa	shopping
alfiere	scacco
soda	sale
sveglia	orologio
freschezza	novità
fitta	dolore
nappa	addobbo
probabilità	qualità
utopia	stato
intagliatore	falegname
mano	estremità
popolarità	qualità
sublimato	gas
quadrica	curva
astrusità	saggezza
assillo	mosca
uranio	metallo
scudiero	inserviente
caricatore	borghese
caramella	dolciumi
angiopatia	patologia
sabina	ginepro
samurai	guerriero
attacco	critica
velista	marinaio
fognatura	sistema
specchietto	specchio
lessicologia	filologia
elettromagnetismo	fisica
ossidrile	radicale
gravità	serietà
ileo	tenue
arco	arma
flagello	processo
lacca	gomma
kuwaitiano	asiatico
corindone	minerale
listello	legname
testata	lastra
moltiplicatore	numero
geofisica	geologia
voce	espressione
insensibilità	incoscienza
keniota	africano
tradimento	disonestà
amenorrea	sintomo
ectoplasma	emanazione
tortura	sevizie
zenzero	aroma
autogamia	autofecondazione
terra	elemento
calamo	penna
cannone	artiglieria
arcivescovo	vescovo
ittiologo	zoologo
egiziano	africano
nuora	affine
georgiano	russo
uragano	ciclone
armeno	indoeuropeo
parapsicologo	psicologo
feluca	veliero
apparato	sistema
egoista	antipatico
fermata	interruzione
mongolo	orientale
nitrito	radicale
attribuzione	classificazione
scomunica	proscrizione
debolezza	impotenza
crisalide	pupa
funicolare	ferrovia
serpentaria	vite
estinzione	morte
scrittore	alfabeta
dolce	dolciumi
rarefazione	concentrazione
plasma	stato
laguna	lago
maharani	principessa
alamaro	addobbo
conflitto	ambivalenza
moderatismo	ideologia
ribassista	investitore
oscurità	semioscurità
canguro	marsupiale
israeliano	asiatico
visto	sanzione
radioastronomia	astronomia
armamento	mobilitazione
cielo	atmosfera
apostolo	credente
incontinenza	escrezione
prefisso	affisso
pellegrinaggio	viaggio
mandato	sessione
elica	curva
sifone	cannello
odontotecnico	tecnico
litio	metallo
bagno	abluzione
solitario	individualista
imbottitura	artefatto
ritrattistica	figurazione
micrometro	calibro
taglio	moda
grafica	arte
campanile	torre
inibizione	controllo
ornitologia	zoologia
osmosi	diffusione
cupezza	valore
classicista	umanista
anidride	composto
adolescenza	età
dinamica	meccanica
geroglifico	scrittura
popolamento	colonizzazione
inerzia	tratto
rossetta	pipistrello
infrarosso	frequenza
machete	coltello
robinia	albero
confezione	attività
papaina	enzima
caramello	caramella
